country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
AUS,Australia,Kwinana NewGen,AUS0000196,320,-32.202,115.7728,Gas,,,,2008,Newgen Power Kwinana Partnership,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,1791.008889,1997.005556,2152.886667,1932.035556,2159.696944,2074.119167,,Australia Clean Energy Regulator,
AUS,Australia,Kwinana Swift,AUS0000197,120,-32.2243,115.7783,Gas,,,,2012,Western Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,13.87583333,57.68777778,130.3861111,,Australia Clean Energy Regulator,
AUS,Australia,Ladbroke Grove,AUS0000244,80,-37.4567,140.7827,Gas,,,,,Origin Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,91.68388889,231.3219444,184.4061111,204.3908333,211.1466667,183.3066667,,Australia Clean Energy Regulator,
AUS,Australia,Lajamanu,AUS0000466,0.29,-18.3265,130.6295,Solar,,,,2000,Power and Water Corporation,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,3.070277778,2.944722222,3.269722222,,Australia Clean Energy Regulator,
AUS,Australia,Lake Bonney Stage 1 Wind Farm,AUS0000483,80.5,-37.7815,140.4058,Wind,,,,1992,Infigen Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Lake Bonney Stage 2 Wind Farm,AUS0000062,159,-37.8149,140.4195,Wind,,,,2008,Infigen Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,673.5808333,728.1808333,688.3136111,665.0408333,666.7163889,717.6397222,,Australia Clean Energy Regulator,
AUS,Australia,Lake Bonney Stage 3 Wind Farm,AUS0000484,39,-37.7505,140.393,Wind,,,,2003,Infigen Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Lake Echo,AUS0000124,32.4,-42.2537,146.6207,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,99.81666667,93.00638889,33.55416667,105.0563889,53.87888889,59.26194444,,Australia Clean Energy Regulator,
AUS,Australia,Lake Glenmaggie,AUS0000086,4,-37.9047,146.8011,Hydro,,,,1978,Pacific Hydro Investments Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,7.985,5.456944444,6.778888889,5.010277778,10.22861111,4.05,,Australia Clean Energy Regulator,
AUS,Australia,Lake Keepit,AUS0000304,6.5,-30.8792,150.4914,Hydro,,,,,Country Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,6.53,2.848055556,1.223611111,5.971944444,11.43944444,,Australia Clean Energy Regulator,
AUS,Australia,Lake William Hovell,AUS0000099,2,-36.9129,146.3921,Hydro,,,,2013,Pacific Hydro Investments Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,3.960833333,4.841666667,2.960833333,2.764166667,5.466666667,4.001944444,,Australia Clean Energy Regulator,
AUS,Australia,Landfill Management Services Shoal Bay,AUS0000252,1.1,-12.3892,130.9254,Waste,,,,1997,LMS Energy Generation Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
